tadam_whafol70,,adam ,,in agro ,damasceno ,,formatus ,,in ,,paradisum ,,unde ,quatuor ,,flumina ,oriuntur ,translatus ,cum ,,,,,femine  ,costa ,,,dormientis ,facte ,,,nomine ,,sicut ,,ceteris ,,rebus ,,imposito  ,christo ,,ecclesia ,,prophetasset ,eidem  ,,comedendo ,pomo ,,acquieuisset ,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a ,domino  ,paradyso ,,,,,collocatis ,,,cherubin ,,flammeo ,gladio ,,post ,increpationem ,,abiectus  ,de ,,terra ,maledicta ,,,,insudore ,uultus ,,,panem ,acquiritur,,,,,,,,
tadam_eufdeperfca2079,,adam ,,in agro ,damasceno ,,formatus ,,in ,,paradisum ,,unde ,quatuor ,,flumina ,oriuntur ,translatus ,,,,,cum ,femine  ,costa ,,,dormientis ,facte ,,,nomine ,,sicut ,,ceteris ,,rebus ,,imposito  ,christo ,,ecclesia ,,prophetasset ,eidem  ,,comedendo ,pomo ,,acquieuisset ,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a ,deo ,,,,post ,increpationem  ,paradiso ,eiectus collocato ,,cherubin ,,flammeo ,gladio  ,,,,,,,,terra ,maledicta ,,,,insudore ,uultus ,,,panem ,acquiritur,,,,,,,,
tadam_vbapallat963,,adam ,,in agro ,damasceno ,,formatus ,,in ,,paradisum ,,unde ,iiiior ,,flumina ,oriuntur ,translatus ,,,,,cum ,femine  ,costa ,,,dormientis ,facte ,,eua ,nomine ,imposito ,sicut ,,ceteris ,,rebus  ,ecclesia ,,christo ,,,,prophetasset ,eidem  ,comedndo ,,pomo ,,acquieuisset ,pro ,disconuenientia ,nuditatis ,,,factis ,peryzomatibus ,,,,,,a ,domino  ,pardiso ,,,,,collocatis ,,,cherubin ,,flammeo ,gladio ,,post ,increpationem ,,abiectus  ,,,terra ,maledicta ,,,,insudore ,uultus ,,,panem ,aquit,,,,,,,,
tadam_pbm305,,adam ,,in agro ,damasceno ,,formatus ,,in ,,paradisum ,,unde ,quatuor ,,flumina ,oriuntur ,translatus ,,,,,cum ,femine  ,costa ,,,dormientis ,facte ,,,nomine ,imposito ,sicut ,,ceteris ,,rebus  ,,,christo ,,ecclesia ,,prophetasset ,eidem  ,comedndo ,,pomo ,,acquieuisset ,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a ,domino  ,paradisso ,,,,,collocatis ,,,cherubin ,,flammeo ,gladio ,,post ,increpatione ,,abiectus  ,,,terra ,maledicta ,,,,,uultus ,,,panem ,acquiritur,,,,,,,,
tadam_CCC83,,adam ,,in agro ,damasceno ,,formatus ,,in ,,paradisum ,,unde ,quattuor ,,flumina ,oriuntur ,translatus ,,,,,cum ,femine  ,costa ,,,dormientis ,facte ,,,nomine ,,sicut ,,ceteris ,,rebus ,,imposito  ,christo ,,ecclesia ,,prophetasset ,eidem ,uxori sue a serpente seducte  ,comedendo ,pomo ,,adquieuisset ,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a ,domino  ,para diso ,,,,,collocatis ,cherubim ,,,,flammeo ,gladio ,,post ,increpationem ,,abiectus  ,,,terra ,maledicta ,,,,insudore ,uultus ,sui ,,panem ,adquirit,,,,,,,,
tadam_mlm4989,,adam ,,in agro ,damasceno ,,formatus ,,in ,paradysum ,,,unde ,,,flumina ,oriuntur ,translatus ,,,,,cum ,femine  ,costa ,,,dormientis ,facte ,,eua ,nomine ,inposito ,sicut ,,ceteris ,,rebus  ,,,christo ,,ecclesia ,,prophetasset ,eidem  ,,comedendo ,pomo ,,acquieuisset ,pro ,disconuenientia ,nuditatis ,,,factis ,perysomatibus ,,,,,,a ,domino  ,paradyso ,,,,,collocatis ,,,cherubin ,,flammeo ,gladio ,,post ,increpationem ,,abiectus  ,,,terra ,maledicta ,,,,insudore ,uultus ,,,panem ,aquisiuitur,,,,,,,,
tadam_culdd812,,adam ,,in agro ,damasceno ,,formatus ,,in ,,paradisum ,,unde ,quatuor ,,flumina ,oriuntur ,translatus ,cum ,femina ,,,,,,,,dormientis ,facta  ,costa ,eua ,nomine ,,sicut ,,ceteris ,,rebus ,,imposito  ,christo ,,ecclesia ,,prophetasset ,eidem  ,,comedendo ,pomo ,,acquieuisset ,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a ,domino  ,,paradiso ,,,,collocatis ,,,cherubin ,,flammeo ,gladio ,,post ,increpationem ,,abiectus  ,,,terra ,maledicta ,,,,insudore ,uultus ,,,panem ,acquiritur,,,,,,,,
tadam_cmb183,i ,adam ,,in agro ,damasceno ,,formatus ,,in ,,paradisum ,,unde ,4or ,,flumina ,oriuntur ,translatus ,cum ,sgyonphilontygriseufratesami ,,,,femine  ,costa ,,,dormientis ,facte ,,eua ,nomine ,imposito ,sicut ,,ceteris ,,rebus  ,,,christo ,,ecclesia ,,prophetasset ,eidem  ,,comedendo ,pomo ,,adquieuisset ,pro ,disconuenientia ,nuditatis ,,,factis ,peryzomatibus ,,,,,,a ,domino  ,,paradiso ,,,,collocatis ,cherubim ,,,,flammeo ,gladio ,,post ,increpationem ,citus  ,,,,terra ,maledicta ,,,,insudore ,uultus ,,,panem ,adquiritur,,,,,,,,
tadam_gflchaa16,,adam ,,in agro ,damasceno ,,formatus ,,in ,,paradisum ,,unde ,quatuor ,,flumina ,oriuntur ,translatus ,,,,,cum ,femine  ,costa ,,,dormientis ,facte ,,eua ,nomine ,imposito ,sicut ,,ceteris ,,rebus  ,,,christo ,,ecclesia ,,prophetasset ,idem  ,,comedendo ,pomo ,,adquieuisset ,pro ,disconuenientia ,nuditatis ,factus ,,,,perizomatibus ,,,,,a ,deo  ,,paradiso ,,,,collocatis ,an ,,cherubin ,,flammeo ,gladio ,,post ,increpationem ,,abiectus  ,,,terra ,maledicta ,,,,insudore ,uultus ,,,panem ,adquiritur,,,,,,,,
tadam_lbladd14819,,adam ,,in agro ,damasceno ,formatur ,,,in ,,paradisum ,,unde ,quatuor ,,flumina ,oriuntur ,translatus ,cum ,femina  ,,,,,costa ,,,dormientis ,facta ,,,nomine ,,sicut ,,ceteris ,,rebus ,,imposito  ,christo ,,ecclesia ,,prophetasset ,eidem  ,,comedendo ,pomo ,,adquieuisset ,pro ,disconuenientia ,nuditus ,,,factis ,,perizomatibus ,,,,,a ,domino  ,paradyso ,,,post ,increpationem ,collocatis ,,,cherubin ,,flammeo ,gladio ,,,,,abiectus  ,,,terra ,maledicta ,,,,insudore ,uultus ,,,panem ,acquiritur,,,,,,,,
tadam_fbmplut1511,,adam ,,in agro ,damasceno ,,formatus ,,in ,,paradisum ,,unde ,quatuor ,,flumina ,oriuntur ,translatus ,,,,,cum ,femine  ,costa ,,,dormientis ,facte ,,eua ,nomine ,imposito ,sicut ,,ceteris ,,rebus  ,,,christo ,,ecclesia ,,prophetasset ,eidem  ,,comedendo ,pomo ,,adquieuisset ,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a ,domino  ,,paradiso ,,,,collocatis ,,,cherubin ,,flammeo ,gladio ,,post ,increpationem ,,abiectus  ,,,terra ,maledicta ,,,,insudore ,uultus ,,,panem ,adquiritur,,,,,,,,
tadam_pbnlat10431,,adam ,,in agro ,damasceno ,,formatus ,,in ,,paradisum ,n ,,iiiior ,,flumina ,oriuntur ,translatus ,,,,,cum ,femine  ,costa ,,,dormientis ,facte ,,,nomine ,,sicut ,,ceteris ,,rebus ,,imposito  ,christo ,,ecclesia ,,,,,,,,,,,nuditatis ,,,factis ,,perizomatibus ,,,,,a ,domino  ,,paradiso ,,,,collocatis ,,,cherubin ,,flammeo ,gladio ,,post ,increpationem ,,abiectus  ,,,terra ,maledicta ,,,,insudore ,,,,panem ,adquiritur,,,,,,,,
tadam_mbm89,,adam ,,in agro ,damasceno ,,formatus ,,in ,,paradisum ,,unde ,quatuor ,,flumina ,oriuntur ,translatus ,,,,,cum ,femine  ,costa ,,,dormientis ,facte ,,eua ,nomine ,imposito ,sicut ,,ceteris ,,rebus  ,,,christo ,,ecclesia ,,prophetasset ,eidem  ,,comedendo ,pomo ,,acquieuisset ,pro ,disconuenientia ,nuditatis ,,,factis ,perisomatibus ,,,,,,a ,domino  ,,paradiso ,,,,collocatis ,,,cherubin ,,flammeo ,gladio ,,post ,increpationem ,,abiectus  ,,,terra ,maledicta ,,,,insudore ,uultus ,sui ,,panem ,acquiritur,,,,,,,,
tadam_pba1234,,adam ,,in agro ,damasceno ,,formatus ,,in ,,paradisum ,,unde ,iiiior ,,flumina ,oriuntur ,translatus ,s ,in paradisum ,noluptatis  ,,cum ,femine  ,costa ,,,dormientis ,facte ,a domino ,eua ,nomine ,,sicut ,,ceteris ,,rebus ,,imposito  ,christo ,,ecclesia ,,prophetasset ,eidem  ,,comedendo ,pomo ,a domino prohibito ,acquieuisset ,pro ,disconuenientiam ,nuditatis ,sua ,,factis ,ante ,,,,,,,,,,paradisi ,post ,tam ,,cherubyn ,,,,flammeo ,gladio ,collocato ,post ,increpationem ,accepio ,in ,maledicta ,ut  ,terra ,maledicta  ,,tribulos ,germaniam ,insudore ,uultus ,sin ,,panem ,monestatur mitatus anni ante ,,a,,,,,,
tadam_lblroy14bix,,adam ,,in agro ,damasceno ,,formatus ,,in ,,paradisum ,,unde ,quatuor ,flumia ,,oriuntur ,translatus ,,,,,cum ,femine  ,costa ,,,dormientis ,facte ,,eua ,nomine ,imposito ,sicut ,,ceteris ,,rebus  ,,,christo ,,ecclesia ,,prophetasset ,eidem  ,,comedendo ,pomo ,,adquieuisset ,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a ,domino  ,,paradiso ,,,,collocatis ,cherubyn ,,,,flammeo ,gladio ,,post ,increpationem ,,abiectus  ,,,terra ,maledicta ,,,,insudore ,uultus ,,,panem ,acquiritur,,,,,,,,
tadam_mbsclm16223,,adam ,sexta die  anno terre formatus ,in agro ,damasceno ,,,,in ,,paradisum ,,unde ,4or ,,flumina ,oriuntur ,translatus ,,,est ,,cum ,femina  ,costa ,,,dormientis ,facte ,,,nomine ,,sicut ,,ceteris ,,rebus ,,imposito  ,christo ,,ecclesia ,prophatasset ,,eidem  ,,comedendo ,pomo ,,acquieuisset ,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a ,domino  ,,paradiso ,,,,collocatis ,,,cherubin ,,flammeo ,gladio  ,paradisum ,postquam ,increpationem ,,abiectus  ,,,terra ,maledicta ,,,,insudore ,uultus ,,,panem ,acquisiuitur requeuit,,,,,,,,
tadam_lblhar658,,adam ,,in agro ,damasceno ,,formatus ,,in ,,paradisum ,,unde ,iiiior ,,flumina ,oriuntur ,translatus ,,,,,cum ,femine  ,costa ,,,dormientis ,formate ,,,nomine ,,sicut ,,ceteris ,,rebus ,,imposito  ,christo ,,ecclesia ,,prophetasset ,eidem  ,,comedendo ,pomo ,,adquieuisset ,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a ,domino  ,,,,,,paradiso ,,,,,,,,post ,increpationem ,,abiectus  ,,,terra ,maledicta ,,,,insudore ,uultus ,,,panem ,adquiritur,,,,,,,,
tadam_CCC437,,adam ,,in agro ,damasceno ,,formatus ,,in ,paradysum ,,,unde ,quatuor ,,flumina ,oriuntur ,translatus ,,,,,cum ,femine  ,costa ,,,dormientis ,facte ,,,nomine ,,sicut ,,ceteris ,,rebus ,imposita  ,,christo ,,ecclesia ,,prophetasset ,eidem  ,,comedendo ,pomo ,,acquieuisset ,,disconuenientia ,nudditatis ,,,factis ,,perizomatibus ,,,,,a ,domino  ,,paradiso ,,,,collocatis ,cherubym ,,,,flammeo ,gladio ,,post ,increpationem ,,abiectus  ,,,terra ,maledicta ,,,,insudore ,uultus ,,,panem ,acquiritur,,,,,,,,
tadam_bun762,,adam ,,in agro ,damasceno ,,formatus ,,in ,,paradisum ,,unde ,iiiior ,,flumina ,oriuntur ,translatus ,,,,,cum ,femine  ,costa ,,,dormientis ,facte ,,,nomine ,,sicut ,,ceteris ,,rebus ,,imposito  ,christo ,,ecclesia ,,prophetasset ,eidem  ,,comedendo ,pomo ,,acquieuisset ,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a ,domino  ,,paradiso ,,,,collocatis ,,,cherubin ,,flammeo ,gladio ,,post ,increpationem ,,abiectus  ,,,terra ,maledicta ,,,,insudore ,uultus ,,,panem ,acquiritur,,,,,,,,
tadam_lubapel1,,adam ,,in agro ,damasceno ,,formatus ,,in ,,paradisum ,,unde ,quatuor ,,flumina ,oriuntur ,translatus ,,,,,cum ,femine  ,costa ,,,dormientis ,facte ,,,nomine ,,sicut ,,ceteris ,,rebus ,,imposito  ,christo ,,ecclesia ,,prophetasset ,eidem  ,,comedendo ,pomo ,,acquieuisset ,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a ,deo ,,,,post ,increpationem  ,paradiso ,eiectus collocato ,,cherubin ,,flammeo ,gladio  ,,,,,,,,terra ,maledicta ,,,,insudore ,uultus ,siu ,,panem ,acquiritur ,est legitur trigita filios habuisse toti  filias pater chayn ,,,,,,abel ,in
tadam_whaguelf360helm,,adam ,,in agro ,damasceno ,,formatus ,,in ,paradisu ,,,unde ,4or ,,flumina ,oriuntur ,translatus ,,,,,,femina  ,costa ,,,dormientis ,facta ,,eua ,nomine ,,sicut ,,ceteris ,imposiut  ,,,,christo ,,ecclesia ,cum ,prophetasset ,eue  ,comedndo ,,pomo ,,acquieuisset ,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a ,domino  ,,paradiso ,,,,collocatis ,,,cherubin ,,flammeo ,gladio ,,post ,increpationem ,,abiectus  ,,,terra ,maledicta ,,,,insudore ,uultus ,,,panem ,acquiritur,,,,,,,,
tadam_penmasson71,,adam ,,in agro ,damasceno ,,formatus ,,in ,paradysum ,,,unde ,quatuor ,,flumina ,oriuntur ,translatus ,cum  ,costa ,,,,femine ,,facte ,ipi ,dormientis ,nomine ,,eua ,,imposito ,ceterisque ,,,,rebus  ,noibus  ,,christo ,,ecclesia ,,prophetasset ,eidem ,facte  ,comedendo ,pomo ,acqueuisset ,,pro ,disconuenientia ,nuditatis ,sue  ,agiute ,factis ,,perizomatibus ,folus ,sicut ,,,a ,domino  ,paradyso ,citus ,,post ,increpationem ,collocatis ,in ,aditu ,cherubim ,cum ,,gladio ,flammeo   ,,,,,,,terra ,maledicta ,,,,insudore ,uultus ,labore manuum ,,panem ,acquiritur ,ad ,toti ,potentati ,reliquitur,,,,
tadam_mrmmik6365,,adam ,,in agro ,damasceno ,,formatus ,,in ,,paradisum ,translatus ,unde ,iiii ,flumia ,,oriuntur ,,,,,,cum ,femine  ,costa ,,,dormientis ,facte ,,,nomine ,,sicut ,,ceteris ,,rebus ,,imposito  ,christo ,,ecclesia ,,prophetasset ,eidem  ,,comedendo ,pomo ,eue ,adquieuisset ,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a ,domino  ,,paradiso ,,,,collocatis ,,,cherubin ,,flammeo ,gladio ,,post ,increpationem ,adbiectus  ,,,,terra ,maledicta ,,,,insudore ,uultus ,,,panem ,adquiritur,,,,,,,,
tadam_pfllewe202,,adam ,,in agro ,,,formatus ,,in ,,paradisum ,,unde ,quatuor ,oriuntur ,flumina ,,translatus ,,,,,cum ,femine  ,costa ,,,dormientis ,facte ,,,nomine ,,sicut ,,ceteris ,,rebus ,,imposito  ,christo ,,ecclesia ,,prophetasset ,eidem  ,,comedendo ,pomo ,,acquieuisset ,pro ,disconuenientia ,nuditatis ,,,factis ,parizomatibus ,,,,,,a ,domino  ,,paradiso ,colocatis ,,,,cherubyn ,,,,flammeo ,gladio ,atqui uersatili ,post ,increpationem ,eiectus  ,,,,terra ,maledicta ,,,,insudore ,uultus ,cui ,,panem ,adquiritur ,sicut eius posteritas,,,,,,,
tadam_pbnlat14435,,adam ,,in agro ,damasceno ,,formatus ,,in ,paradysum ,,,unde ,iiiior ,,flumina ,oriuntur ,translatus ,,,,,cum ,femina  ,costa ,,,dormientis ,sicut ,,,nomine ,,sicut ,,ceteris ,,rebus ,inposito  ,,christo ,,ecclesia ,,prophetasset ,eidem  ,,comedendo ,pomoadquieuisset ,,,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a ,domino  ,paradyso ,,,,,collocatis ,cherubyn ,,,,flammeo ,gladio ,,post ,increpationem ,,abiectus  ,,,terra ,maledicta ,,,,,uultus ,,,panem ,adquiritur,,,,,,,,
tadam_bwaw796,,adam ,,in agro ,damasceno ,,formatus ,,in ,paradysum ,,,unde ,iiii ,,flumina ,oriuntur ,translatus ,,,,,cum ,femine  ,costa ,,,dormientis ,facte ,,,nomine ,,sicut ,,ceteris ,,rebus ,,imposito  ,christo ,,ecclesia ,,prophetasset ,eidem  ,,comedendo ,pomo ,,adquieuisset ,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a ,domino  ,paradyso ,,,,,collocatis ,,,cherubin ,,flammeo ,gladio ,,post ,increpationem ,,abiectus  ,,,terra ,maledicta ,,,,insudore ,uultus ,sui ,,panem ,adquiritur,,,,,,,,
tadam_nblmar26,,adam ,,in agro ,damasceno ,,formatus ,,in ,,paradisum ,,unde ,iiiior ,,flumina ,oriuntur ,translatus ,,,,,cum ,femine  ,costa ,,,dormientis ,facte ,,,nomine ,,sicut ,cteris ,,,rebus ,,imposito  ,christo ,,ecclesia ,,prophetasset ,eidem  ,,comedendo ,pomo ,,acquieuisset ,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a ,domino  ,paradyso ,,,,,collocatis ,,,cherubim ,,flammeo ,gladio ,,post ,increpationem ,,abiectus  ,,,terra ,maledicta ,,,,insudore ,uultus ,,,panem ,acquiritur,,,,,,,,
tadam_vbavatlat3782,,adam ,,in agro ,damasceno ,,formatus ,,in ,,paradisum ,,unde ,quatuor ,,flumina ,oriuntur ,translatus ,s ,in paradisum ,uoluptatis ,deliciach ,cum ,femine  ,costa ,,,dormientis ,facte ,a domino ,eua ,nomine ,,sicut ,,ceteris ,,rebus ,,imposito  ,christo ,,ecclesia ,,prophetasset ,eidem  ,,comedendo ,pomo ,a domino prohibito ,acquieuisset ,pro ,disconuenientiam ,nuditatis ,sue ,,factis ,sibi ,perizomatibus  ,folus ,suum  ,paradiso cum ,ea ,a ,domino ,est ,eictus ,eiectus ,ante paradisi postquam ,,,,,cherubin ,cum ,flammeo ,gladio ,collocatis ,post ,increpationem ,accepit ,in ,maledictos ,ut  ,terra ,maledicta ,ei  ,tribulos ,germinante ,insudore ,uultus ,siu ,,panem ,quo ,uestata aquirat,,,,,,,
tadam_gflchaa4,,adam ,,in agro ,damasceno ,gen ii ,formatus ,,in ,,paradisum ,,unde ,quatuor ,,flumina ,oriuntur ,translatus ,,,,,cum ,femine  ,costa ,,,dormientis ,facte ,,eua ,nomine ,imposita ,sicut ,,ceteris ,rebus  ,rebus  ,,,christo ,,ecclesia ,,prophetasset ,eidem ,iii  ,comedendo ,pomo ,,acquieuisset ,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a ,domino  ,,paradiso ,,,,collocatis ,cherubyn ,,,,flammeo ,gladio ,,postquam ,increpationem ,,abiectus  ,,,terra ,maledicta ,,,,insudore ,uultus ,,,panem ,acquiritur ,prophat  diliuu ,a ,futuro  iudicia pigno idem ragnot liberus fluus postea nidicauit,,,,,
tadam_vbavatlat3783,,adam ,,in agro ,damasceno ,,formatus ,,in ,,paradisum ,,unde ,iiiior ,,flumina ,oriuntur ,translatus ,,,,,cum ,femine  ,costa ,,,dormientis ,facte ,etiam ,,nomine ,,sicut ,,ceteris ,,rebus ,,imposito  ,christo  ,,,,prophetasset ,eidem  ,pomo ,comedendo ,,,acquieuisset ,pro ,disconuenieniam ,nuditatis ,facte ,,,peryzomatibus ,,,,,,a ,domino  ,,paradiso ,,,,collocatis ,cherubyn ,,,,flammeo ,gladio ,,post ,increpationem ,,abiectus  ,,,terra ,maledicta ,,sudore ,,,uultus ,sui ,,panem ,acquiritur ,,,,,,genuit ,ap ta ub ad iiiior,
tadam_aux146,c ,adam ,,in agro ,damasceno ,,formatus ,,in ,,paradisum ,,unde ,iiiior ,,flumina ,oriuntur ,translatus ,,,,,cum ,femine  ,costa ,,,dormientis ,facte ,,,nomine ,,sicut ,,ceteris ,,rebus ,,imposito  ,christo ,,ecclesia ,,prophetasset ,eidem  ,,comedendo ,pomo ,,acquieuisset ,pro ,disconuentia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a ,domino  ,,paradiso ,,,,collocatis ,,,cherubin ,,flammeo ,gladio ,,post ,increpationem ,,abiectus  ,,,terra ,maledicta ,,,,insudore ,uultus ,,,panem ,acquiritur,,,,,,,,
tadam_pnkxxiiif204,,adam ,,in agro ,damasceno ,,formatus ,,in ,paradysum ,,,unde ,quator ,,flumina ,oriuntur ,translatus ,,,,,cum ,femina  ,costa ,,,dormientis ,facte   ,in p ,,,,sicut ,,ceteris ,,rebus ,,,,,,,prophetasset ,eidemde ,,comedendo ,pomo  ,,acquieuisset ,pro ,disconcinenciaitalis ,,,,factis ,perisomatibusa ,,,,,,,domino  ,,,,,,paradiso ,collocatuscherubin ,,,cum ,flameo ,,,gladiopost ,increpationem ,abiecta  ,,,,terra ,maledicta ,in ,sudore ,,,uultus ,,,panem ,adquiritur,,,,,,,,
tadam_vbavatlat1972,,adam ,,in agro ,damasceno ,,formatus ,,in ,,paradisum ,,unde ,quatuor ,,flumina ,oriuntur ,translatus ,,,,,cum ,femine  ,costa ,,,dormientis ,facte ,,,nomine ,,sicut ,,ceteris ,,rebus ,,imposito  ,christo ,,ecclesia ,,prophetasset ,eidem  ,,comedendo ,pomo ,,acquieuisset ,pro ,disconuenientia ,nuditatis ,,,factis ,peryzomatibus ,,,,,,a ,domino  ,,,,,,paradiso ,colloquatis ,,cherubin ,,flammeo ,gladio ,postea ,,increpationem ,,abiectus  ,,,terra ,maledicta ,insudorem ,,,,uultus ,,,panem ,adquiritur,,,,,,,,
tadam_fbmplut2056,,adam ,,in agro ,damasceno ,,formatus ,,in ,,paradisum ,,unde ,iiiior ,,flumina ,oriuntur ,translatus ,,,,,cum ,femine  ,costa ,,,dormientis ,facte ,,,nomine ,imposito ,sicut ,,ceteris ,,rebus  ,,,christo ,,ecclesia ,,prophetasset ,eidem  ,,comedendo ,pomo ,,acquieuisset ,pro ,disconuenientia ,nuditatis ,,,factis ,,,,,,,a ,domino ,perizomatibus ,,,,,collocatis ,in ,frli ecclesia  ,cherubin ,,flammeo ,gladio ,,post ,increpationem  ,paradiso ,abiectus  ,,,terra ,maledicta ,,,,insudore ,,sin ,uultus ,panem ,acquiritur,,,,,,,,
tadam_ctcb154,,,,in agro ,damasceno ,,formatus ,,in ,,paradisum ,,unde ,iiiior ,,flumina ,oriuntur ,translatus  ,,,,,,femine ,costa ,,,dormientis ,facte ,,,nomine ,,sicut ,in ,ceteris ,,rebus ,impo  ,,christo ,,ecclesia ,,prophetasset ,eidem  ,,comedendo ,pomo ,,adquieuisset ,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a ,domino  ,,paradiso ,,,,collocatis ,,,cherubin ,,flammeo ,gladio ,,post ,increpationem ,,abiectus  ,,,terra ,maledicta ,,,,insudore ,,,uultus ,panem ,adquiritur,,,,,,,,
tadam_mbelat693,,adam ,,in agro ,damasceno ,,formatus ,a domino ,in ,,paradisum ,,unde ,quatuor ,,flumina ,oriuntur ,translatus ,,,,,cum ,femine  ,costa ,,,dormientis ,,,eua ,nomine ,imposito ,sicut ,,ceteris ,,rebus ,necnon  ,,,,ecclesia ,,prophetasset ,eidem  ,,comedendo ,panes ,,,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,da ,,,,,,,paradiso ,,,,collocatis ,,,cherubin ,,flammeo ,gladio ,,,,,abiectus  ,,,terra ,maledicta ,,,,insudore ,,,uultus ,panem ,acciperitur,,,,,,,,
tadam_pbnlat15467,,adam ,,in agro ,damasceno ,,formatus ,,in ,paradyso ,,,unde ,quatuor ,,flumina ,oriuntur ,translatus ,,,,,cum ,femine  ,costa ,,,dormientis ,facte ,,eua ,nomine ,imposito ,sicut ,,ceteris ,,rebus  ,,,christo ,,ecclesia ,,prophetasset ,eidem  ,,comedendo ,pomo ,,adquieuisset ,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a ,domino  ,,paradiso ,,,,collocatis ,,,cherubin ,,flammeo ,gladio ,,post ,increpationem ,,abiectus  ,,,terra ,maledicta ,,,,insudore ,,,uultus ,panem ,adquiritur,,,,,,,,
tadam_ctcb155,,adam ,,in agro ,damasceno ,,formatus ,,in ,,paradisum ,,unde ,iiiior ,flumimina ,,oriuntur ,translatus ,,,,,cum ,femine  ,costa ,,,dormientis ,facte ,,,nomine ,,sicut ,,ceteris ,,rebus ,,imposito  ,christo ,,ecclesia ,,prophetasset ,,,,,,,pro ,disconuenientia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a ,domino  ,,paradiso ,,,,collocatis ,,,cherubin ,,flammeo ,gladio ,,post ,increpationem ,,abiectus  ,,,terra ,maledicta ,,,,insudore ,uultus ,sui ,,panem ,adquiritur,,,,,,,,
tadam_won1548,c ,adam ,,in agro ,damasceno ,,formatus ,,in ,,paradisum ,,unde ,iiiior ,,flumina ,oriuntur ,translatus ,,,,,cum ,femine  ,costa ,,,dormientis ,facte ,,,nomine ,,sicut ,,ceteris ,,rebus ,,imposito  ,christo ,,ecclesia ,,prophetasset ,eidem  ,,comedendo ,pomo ,,adquieuisset ,pro ,disconueniencia ,nuditatis ,,,factis ,perysomatibus ,,,,,,a ,domino  ,,paradiso ,,,,collocatis ,,,cherubin ,,flammeo ,gladio ,,post ,increpationem ,,abiectus  ,,,terra ,maledicta ,,,,insudore ,,,uultus ,panem ,adquisiuit,,,,,,,,
tadam_aux145,,adam ,,in agro ,damasceno ,,formatus ,,in ,,paradisum ,,unde ,iiiior ,,flumina ,oriuntur ,translatus ,du ,,,,,femine  ,costa ,,,dormientis ,facte ,,,nomine ,,sicut ,,ceteris ,,rebus ,,imposito  ,christo ,,ecclesia ,,prophetasset ,eidem  ,,comedendo ,pomo ,,acquieuisset ,pro ,incoueinentia ,nuditatis ,,,factis ,,perizomatibus ,,,,,a ,domino  ,,paradiso ,,,,collocatis ,,,cherubin ,,flammeo ,gladio ,,post ,increpationem ,,abiectus  ,,,terra ,maledicta ,,,,insudore ,uultus ,panem ,i ,,acquiritur,,,,,,,,
tadam_mbsclm19414,,adam ,,in agro ,damasceno ,,formatus ,,in ,,paradisum ,,unde ,iiiior ,,flumina ,oriuntur ,translatus ,,,,,cum ,femine  ,costa ,,,dormientis ,facte ,,,nomine ,,sicut ,,ceteris ,,rebus ,,imposito  ,christo ,,ecclesia ,,prophetasset ,eidem  ,,comedendo ,pomo ,,acquieuisset ,pro ,disconenientia ,nuditatis ,,,factis ,perizoma matibus ,,,,,,a ,domino  ,,,,,,paradiso ,collogatis ,,cherubin ,,flammeo ,gladio ,,post ,increpationem ,,abiectus  ,,,terra ,maledicta ,,,,insudore ,,,uultus ,panem ,,,acquiratur,,,,,,
